Apple Computer|Model Identifier
eMac G4/700|PowerMac4,4
eMac G4/800|PowerMac4,4
eMac G4/800 (ATI)|PowerMac4,4
eMac G4/1.0 (ATI)|PowerMac4,4
eMac G4/1.25 (USB 2.0)|PowerMac6,4
eMac G4/1.42 (2005)|PowerMac6,4
iBook G3/300 (Original/Clamshell)|PowerBook2,1
iBook G3/366 SE (Original/Clamshell)|PowerBook2,1
iBook G3/366 (Firewire/Clamshell)|PowerBook2,2
iBook G3/466 SE (Firewire/Clamshell)|PowerBook2,2
iBook G3/500 (Dual USB - Tr)|PowerBook4,1
iBook G3/500 (Late 2001 - Tr)|PowerBook4,1
iBook G3/600 (Late 2001 - Tr)|PowerBook4,1
iBook G3/600 14-Inch (Early 2002 - Tr)|PowerBook4,2
iBook G3/600 (16 VRAM - Tr)|PowerBook4,3
iBook G3/700 (16 VRAM - Tr)|PowerBook4,3
iBook G3/700 14-Inch (16 VRAM - Tr)|PowerBook4,3
iBook G3/700 (16 VRAM - Op)|PowerBook4,3
iBook G3/800 (32 VRAM - Tr)|PowerBook4,3
iBook G3/800 14-Inch (32 VRAM - Tr)|PowerBook4,3
iBook G3/800 (Early 2003 - Op)|PowerBook4,3
iBook G3/900 (Early 2003 - Op)|PowerBook4,3
iBook G3/900 14-Inch (Early 2003 - Op)|PowerBook4,3
iBook G4/800 12-Inch (Original - Op)|PowerBook6,3
iBook G4/933 14-Inch (Original - Op)|PowerBook6,3
iBook G4/1.0 14-Inch (Original - Op)|PowerBook6,3
iBook G4/1.0 12-Inch (Early 2004 - Op)|PowerBook6,5
iBook G4/1.0 14-Inch (Early 2004 - Op)|PowerBook6,5
iBook G4/1.2 14-Inch (Early 2004 - Op)|PowerBook6,5
iBook G4/1.2 12-Inch (Late 2004 - Op)|PowerBook6,5
iBook G4/1.33 14-Inch (Late 2004 - Op)|PowerBook6,5
iBook G4/1.33 12-Inch (Mid-2005 - Op)|PowerBook6,7
iBook G4/1.42 14-Inch (Mid-2005 - Op)|PowerBook6,7
iMac 17-Inch "Core Duo" 1.83|iMac4,1
iMac 17-Inch "Core Duo" 1.83 (IG)|iMac4,2
iMac 17-Inch "Core 2 Duo" 1.83 (IG)|iMac5,2
iMac 17-Inch "Core 2 Duo" 2.0|iMac5,1
iMac 17-Inch "Core 2 Duo" 2.16|iMac5,1
iMac 20-Inch "Core Duo" 2.0|iMac4,1
iMac 20-Inch "Core 2 Duo" 2.16|iMac5,1
iMac 20-Inch "Core 2 Duo" 2.33|iMac5,1
iMac 20-Inch "Core 2 Duo" 2.0 (Al)|iMac7,1
iMac 20-Inch "Core 2 Duo" 2.4 (Al)|iMac7,1
iMac 20-Inch "Core 2 Duo" 2.4 (Early 2008)|iMac8,1
